einhvern	fokeo
tölvur	nvfn
sem	ct
til	aa
eru	sfg3fn
í	ao
dag	nkeo
.	.

þetta	fahen
gerir	sfg3en
það	fpheo
að	aþ
verkum	nhfþ
að	c
ýmis	fohfn
smáatriði	nhfn
eru	sfg3fn
enn	aa
óljós	lhfnsf
í	aþ
sambandi	nheþ
við	ao
víxlverkun	nveo
höggbylgjunnar	nveeg
og	c
efnisins	nheeg
sem	ct
umlykur	sfg3en
stjörnukjarnann	nkeog
.	.

þó	aa
einstakir	lkfnsf
skjáir	nkfn
séu	svg3fn
myndaðir	sþgkfn
úr	aþ
punktum	nkfþ
getur	sfg3en
skjástýring	nven
tölvunnar	nveeg
ekki	aa
stjórnað	ssg
birtu	nveþ
hvers	fokee
punkts	nkee
,	,
eins	aa
og	c
nauðsynlegt	lhensf
er	sfg3en
eigi	svg3en
að	cn
birta	sng
grafík	nveo
.	.

þó	aa
að	c
það	fphen
sé	svg3en
sjaldgæfara	lhenvm
getur	sfg3en
það	fphen
líka	aa
verið	ssg
að	c
skjárinn	nkeng
sé	svg3en
þannig	aa
úr	aþ
garði	nkeþ
gerður	sþgken
að	c
hann	fpken
geti	svg3en
aðeins	aa
birt	ssg
stafi	nkfo
í	aþ
fyrirfram	aa
ákveðnum	lkfþsf
reitum	nkfþ
.	.

grafískir	lkfnsf
skjáir	nkfn

þeir	fpkfn
mynda	sfg3fn
stafi	nkfo
með	aþ
því	fpheþ
að	cn
teikna	sng
þá	fpkfo
á	ao
skjáinn	nkeog
,	,
punkt	nkeo
fyrir	ao
punkt	nkeo
.	.

algengt	lhensf
er	sfg3en
að	c
skjár	nken
geti	svg3en
sýnt	ssg
290--734	ta
punkta	nkfo
á	ao
þverveginn	nkeog
og	c
192--400	ta
á	ao
hæðina	nveog
,	,
eða	c
frá	aa
50--300	ta
þúsund	tfkfo
punkta	nkfo
alls	aa
á	aþ
skjánum	nkeþg
.	.

mælikvarði	nken
á	ao
gæði	nhfo
þeirra	fpkfe
er	sfg3en
punktaleysnin	nveng
.	.

notuð	sþgven
er	sfg3en
mælieiningin	nveng
pát	x
,	,
eða	c
punktar	nkfn
á	ao
tommu	nveo
.	.

góður	lkensf
skjár	nken
getur	sfg3en
birt	ssg
72--100	ta
pát	x
.	.

því	fpheþ
betri	lkfovm
grafíska	lkfosf
eiginleika	nkfo
sem	ct
tölvan	nveng
hefur	sfg3en
þeim	fakeþ
mun	nkeþ
betri	lveovm
leysni	nveo
(	(
pát	x
)	)
verður	sfg3en
skjárinn	nkeng
að	cn
hafa	sng
.	.

tölvan	nveng
hefur	sfg3en
sérstakt	lheosf
minni	nheo
sem	ct
kallast	sfm3en
skjáminni	nhen
eins	aa
og	c
áður	aa
er	sfg3en
getið	sþghen
.	.

allt	fohen
eftir	aþ
leysni	nveþ
skjásins	nkeeg
getur	sfg3en
það	fphen
verið	ssg
frá	aþ
1000	ta
upp	aa
í	ao
tugi	nkfo
ef	c
ekki	aa
hundruðir	nvfo
þúsunda	nvfe
stafa	nkfe
stórt	lhensf
.	.

stafaskjáir	nkfn
þurfa	sfg3fn
aðeins	aa
eina	tfveo
minniseiningu	nveo
(	(
8	ta
punkta	nkfo
)	)
fyrir	ao
hvern	fokeo
staf	nkeo
,	,
meðan	c
grafískir	lkfnsf
skjáir	nkfn
þurfa	sfg3fn
að	aþ
minnsta	lkeþve
kosti	nkeþ
einn	tfkeo
punkt	nkeo
fyrir	ao
hvern	fokeo
punkt	nkeo
á	aþ
skjánum	nkeþg
.	.

þar	aa
sem	c
hver	foken
stafur	nken
er	sfg3en
gerður	sþgken
úr	aþ
að	aþ
minnsta	lkeþve
kosti	nkeþ
48	ta
punktum	nkfþ
þarf	sfg3en
hver	foken
stafur	nken
á	aþ
grafískum	lkeþsf
skjá	nkeþ
a.	aþ
m.	lkeþve
k.	nkeþ
sex	tfhfþ
sinnum	nhfþ
meira	lheovm
minni	nheo
en	c
á	aþ
stafaskjá	nkeþ
.	.

stafir	nkfn
á	aþ
skjá	nkeþ
tölvunnar	nveeg
eru	sfg3fn
alltaf	aa
byggðir	sþgkfn
upp	aa
sem	c
punktamunstur	nhen
,	,
líkt	aa
og	c
í	aþ
útsaumi	nkeþ
.	.

hver	foken
stafur	nken
er	sfg3en
5--16	ta
punktar	nkfn
á	ao
þverveginn	nkeog
og	c
8--32	ta
punktar	nkfn
á	ao
hæðina	nveog
.	.

venjulega	aa
verða	sfg3fn
stafirnir	nkfng
læsilegri	lkfnvm
eftir	aþ
því	fpheþ
sem	c
þeir	fpkfn
eru	sfg3fn
samsettir	lkfnsf
úr	aþ
fleiri	lkfþvm
punktum	nkfþ
.	.

algengt	lhensf
er	sfg3en
að	cn
nota	sng
5	ta
*	x
9	ta
punkta	nkfo
fyrir	ao
hvern	fokeo
staf	nkeo
.	.

á	aþ
myndunum	nvfþ
hér	aa
til	ae
hliðar	nvee
sést	sfm3en
greinilega	aa
að	c
sá	faken
stafurinn	nkeng
sem	ct
gerður	sþgken
er	sfg3en
úr	aþ
fleiri	lkfþvm
punktum	nkfþ
er	sfg3en
fallegri	lkenvm
.	.

einlitir	lkfnsf
skjáir	nkfn

auk	ae
þess	fphee
sem	c
skjár	nken
getur	sfg3en
verið	ssg
stafaskjár	nken
eða	c
grafískur	lkensf
skjár	nken
,	,
er	sfg3en
hann	fpken
ýmist	c
einlitur	lkensf
eða	c
litaskjár	nken
.	.

einlitur	lkensf
kallast	sfm3en
skjár	nken
ef	c
lýstir	lkfnsf
punktar	nkfn
eru	sfg3fn
alltaf	aa
með	aþ
sama	fbkeþ
lit	nkeþ
.	.

styrkur	nken
punktsins	nkeeg
getur	sfg3en
verið	ssg
mismunandi	lkenof
(	(
grátónar	nkfn
)	)
.	.

einlitir	lkfnsf
skjáir	nkfn
eru	sfg3fn
ýmist	c
,	,
gulir	lkfnsf
,	,
grænir	lkfnsf
eða	c
svart/hvítir	lkfnsf
.	.

smekksatriði	nhen
ræður	sfg3en
hvað	fshen
hverjum	fokeþ
þykir	sfg3en
best	lhense
,	,
en	c
æ	aa
fleiri	lkfnvm
framleiðendur	nkfn
hallast	sfm3fn
að	aþ
því	fpheþ
að	cn
nota	sng
svart/hvíta	lkfosf
skjái	nkfo
og	c
þá	aa
með	aþ
svörtum	lhfþsf
táknum	nhfþ
á	aþ
hvítum	lkeþsf
grunnfleti	nkeþ
.	.

litaskjáir	nkfn

litaskjáir	nkfn
eru	sfg3fn
tvenns	lkeesf
konar	nkee
.	.
RGB-skjáir	nkfn
og	c
litaskjáir	nkfn
fyrir	ao
samsett	lhfosf
litamerki	nhfo
.	.

tölvan	nveng
verður	sfg3en
að	cn
hafa	sng
þrjá	tfkfo
útganga	nkfo
fyrir	ao
RGB-skjái	nkfo
,	,
einn	tfkeo
fyrir	ao
hvern	fokeo
grunnlitanna	nkfeg
,	,
rautt	lheosf
,	,
grænt	lheosf
og	c
blátt	lheosf
(	(
með	aþ
þeim	fpkfþ
má	sfg3en
mynda	sng
alla	fokfo
aðra	fokfo
liti	nkfo
)	)
.	.

oftast	aae
veita	sfg3fn
þeir	fpkfn
betri	lveovm
litendurgjöf	nveo
en	c
skjáir	nkfn
fyrir	ao
samsett	lhfosf
litamerki	nhfo
,	,
en	c
þeir	fakfn
skjáir	nkfn
líkjast	sfm3fn
meira	aam
venjulegu	lheþsf
litasjónvarpstæki	nheþ
,	,
bæði	c
tæknilega	aa
og	c
hvað	fshen
verð	nheo
snertir	sfg3en
.	.

til	ae
að	cn
tengja	sng
venjulegan	lkeosf
litaskjá	nkeo
þarf	sfg3en
einfalda	lveosf
sjónvarpssnúru	nveo
.	.

fyrir	ao
RGB	x
skjái	nkfo
þarf	sfg3en
oftast	aae
sérstakt	lheosf
stýrispjald	nheo
og	c
snúru	nveo
.	.

mikilvægara	lhenvm
er	sfg3en
að	c
leysni	nven
litaskjáanna	nkfeg
sé	svg3en
góð	lvensf
frekar	aam
en	c
einlitu	lkfevf
skjáanna	nkfeg
.	.

það	fphen
er	sfg3en
vegna	ae
þess	fphee
að	c
hver	foken
punktur	nken
sem	ct
við	fp1fn
sjáum	sfg1fn
á	aþ
litaskjá	nkeþ
er	sfg3en
samsettur	lkensf
úr	aþ
þremur	tfkfþ
minni	lkfþvm
punktum	nkfþ
sem	ct
bera	sfg3fn
grunnlitina	nkfog
með	aþ
mismunandi	lkeþof
styrk	nkeþ
.	.

á	aþ
einlitum	lkeþsf
skjá	nkeþ
er	sfg3en
punkturinn	nkeng
aðeins	aa
einn	tfken
.	.

þeir	fpkfn
eru	sfg3fn
því	aa
dýrir	lkfnsf
og	c
því	fpheþ
miður	aam
eru	sfg3fn
þeir	fpkfn
sjaldnast	aae
heppilegir	lkfnsf
sem	c
stafaskjáir	nkfn
.	.

jaðartæki	nhfn

allar	fovfn
tölvur	nvfn
þurfa	sfg3fn
jaðartæki	nhfo
til	ae
að	cn
koma	sng
frá	aþ
sér	fpvfþ
upplýsingum	nvfþ
eða	c
sækja	sng
upplýsingar	nvfo
.	.

til	ae
að	cn
senda	sng
eða	c
sækja	sng
upplýsingar	nvfo
til	ae
jaðartækja	nhfe
þarf	sfg3en
umferðaræðar	nvfo
.	.

þær	fpvfn
eru	sfg3fn
myndaðar	sþgvfn
á	ao
tvennan	lkeosf
hátt	nkeo
.	.

hann	fpken
á	sfg3en
víst	aa
nýja	lveosf
konu	nveo
núna	aa
,	,
segir	sfg3en
Beta	nven-s
.	.

hann	fpken
kemur	sfg3en
aldrei	aa
heim	aa
til	ae
hennar	fpvee
.	.

já	au
og	c
Bubbi	nken-s
segir	sfg3en
,	,
að	c
mamma	nven
sín	feven
sé	svg3en
svo	aa
mikið	aa
veik	lvensf
,	,
hún	fpven
er	sfg3en
á	aþ
spítalanum	nkeþg
.	.

hún	fpven
var	sfg3eþ
líka	aa
veik	lvensf
á	aþ
jólunum	nhfþg
í	ao
fyrra	lheovm
.	.

-	-
það	fphen
eiga	sfg3fn
margir	lkfnsf
bágt	lheosf
,	,
sagði	sfg3eþ
afi	nken
.	.

enn	aa
fór	sfg3eþ
bíllinn	nkeng
í	ao
gang	nkeo
á	aþ
gólfinu	nheþg
.	.

-	-
viltu	sfg2en
gefa	sng
mér	fp1eþ
þennan	fakeo
bíl	nkeo
?	?
sagði	sfg3eþ
afi	nken
.	.

-	-
þú	fp2en
átt	sfg2en
bíl	nkeo
.	.

-	-
það	fphen
er	sfg3en
satt	lhensf
.	.

og	c
ég	fp1en
kann	sfg1en
ekki	aa
að	cn
aka	sng
svona	lkeþof
bíl	nkeþ
.	.

en	c
ef	c
ég	fp1en
væri	svg1eþ
nú	aa
lítill	lkensf
drengur	nken
eins	aa
og	c
þú	fp2en
og	c
ætti	svg1eþ
engan	fokeo
bíl	nkeo
til	ae
að	cn
leika	sng
mér	fp1eþ
að	aa
,	,
mundirðu	svg2eþ
þá	aa
gefa	sng
mér	fp1eþ
bílinn	nkeog
þinn	fekeo
?	?

-	-
nei	au
.	.

-	-
ég	fp1en
mundi	svg1eþ
ekki	aa
tíma	sng
að	cn
gefa	sng
bílinn	nkeog
minn	fekeo
.	.

við	fp1fn
erum	sfg1fn
báðir	fokfn
eins	aa
með	ao
það	fpheo
.	.

afi	nken
stóð	sfg3eþ
upp	aa
,	,
gekk	sfg3eþ
um	ao
gólf	nheo
litla	lveosf
stund	nveo
,	,
settist	sfm3eþ
síðan	aa
hjá	aþ
snáða	nkeþ
á	aþ
gólfinu	nheþg
.	.

-	-
veistu	sfg2en
það	fpheo
,	,
að	c
aðventan	nveng
heitir	sfg3en
líka	aa
jólafasta	nven
.	.

-	-
af	aþ
hverju	fsheþ
?	?

-	-
það	fphen
er	sfg3en
kallað	sþghen
fasta	nven
,	,
þegar	c
við	fp1fn
neitum	sfg1fn
okkur	fp1fþ
um	ao
eitthvað	foheo
.	.

-	-
neitum	sfg1fn
okkur	fp1fþ
...	...
?	?
?	?

-	-
nú	aa
til	ae
dæmis	nhee
gæti	svg1eþ
ég	fp1en
hugsað	ssg
mér	fp1eþ
að	cn
fá	sng
mér	fp1eþ
aukasopa	nkeo
af	aþ
kaffi	nheþ
.	.

eða	c
þá	aa
vindil	nkeo
að	cn
reykja	sng
.	.

en	c
ég	fp1en
neita	sfg1en
mér	fp1eþ
um	ao
það	fpheo
af	aþ
því	fpheþ
ég	fp1en
veit	sfg1en
að	c
það	fphen
er	sfg3en
ekkert	fohen
hollt	lhensf
.	.

og	c
ef	c
mig	fp1eo
langar	sfg3en
að	cn
gleðja	sng
einhvern	fokeo
,	,
sem	ct
er	sfg3en
fátækari	lkenvm
en	c
ég	fp1en
,	,
þá	aa
þarf	sfg1en
ég	fp1en
kannski	aa
að	cn
neita	sng
mér	fp1eþ
um	ao
að	cn
kaupa	sng
eitthvað	foheo
,	,
sem	ct
mig	fp1eo
langar	sfg3en
í	aþ
,	,
til	ae
að	cn
geta	sng
glatt	ssg
hann	fpkeo
,	,
gefið	ssg
honum	fpkeþ
eitthvað	foheo
,	,
sem	ct
hann	fpken
þarf	sfg3en
.	.

maður	nken
þarf	sfg3en
að	cn
geta	sng
sagt	ssg
nei	au
við	ao
sjálfan	fbkeo
sig	fpkeo
,	,
annars	aa
verður	sfg3en
maður	nken
aldrei	aa
sterkur	lkensf
og	c
stór	lkensf
.	.

ef	c
við	fp1fn
gerum	sfg1fn
aldrei	aa
annað	foheo
en	c
það	faheo
,	,
sem	ct
okkur	fp1fo
langar	sfg3en
til	aa
þá	faveo
og	c
þá	faveo
stundina	nveog
,	,
hættum	sfg1fn
við	fp1fn
að	cn
stækka	sng
og	c
einn	fokeo
góðan	lkeosf
veðurdag	nkeo
finnum	sfg1fn
við	fp1fn
,	,
að	c
okkur	fp1fþ
þykir	sfg3en
ekki	aa
lengur	aam
gaman	nhen
að	aþ
neinu	foheþ
.	.

-	-
mamma	nven
segir	sfg3en
að	c
ég	fp1en
sé	svg1en
að	cn
stækka	sng
svo	aa
mikið	aa
,	,
þú	fp2en
stækkar	sfg2en
strax	aa
upp	aa
úr	aþ
öllum	fohfþ
fötum	nhfþ
,	,
segir	sfg3en
hún	fpven
.	.

-	-
já	au
,	,
þú	fp2en
náðir	sfg2eþ
hingað	aa
á	aþ
mér	fp1eþ
í	ao
fyrra	lheovm
,	,
nú	aa
nærðu	sfg2en
hingað	aa
.	.

þú	fp2en
hefur	sfg2en
nóg	lheosf
að	cn
borða	sng
,	,
Guði	nkeþ-s
sé	svg3en
lof	nhen
.	.

það	fpheo
hafa	sfg3fn
ekki	aa
allir	fokfn
.	.

ég	fp1en
þekkti	sfg1eþ
gamla	lveosf
konu	nveo
,	,
þegar	c
ég	fp1en
var	sfg1eþ
lítill	lkensf
.	.

hún	fpven
hætti	sfg3eþ
að	cn
stækka	sng
,	,
þegar	c
hún	fpven
var	sfg3eþ
þriggja	tfhfe
ára	nhfe
.	.

pabbi	nken
hennar	fpvee
þurfti	sfg3eþ
að	cn
fara	sng
langt	aa
í	aa
burtu	aa
um	ao
miðjan	lkeosf
vetur	nkeo
til	ae
þess	fphee
að	cn
komast	snm
út	aa
á	ao
sjó	nkeo
að	cn
fiska	sng
.	.

það	fphen
var	sfg3eþ
kallað	sþghen
að	cn
fara	sng
í	ao
útver	nheo
.	.

þegar	c
hann	fpken
kom	sfg3eþ
heim	aa
um	ao
vorið	nheog
brá	sfg3eþ
honum	fpkeþ
,	,
stúlkan	nveng
hans	fpkee
var	sfg3eþ
hætt	sþgven
að	cn
geta	sng
gengið	ssg
.	.

það	fphen
var	sfg3eþ
svo	aa
lítið	lhensf
til	aa
að	cn
borða	sng
á	aþ
bænum	nkeþg
.	.

hún	fpven
náði	sfg3eþ
sér	fpveþ
,	,
þegar	c
hann	fpken
kom	sfg3eþ
með	ao
fiskinn	nkeog
heim	aa
.	.

svona	aa
fátækt	lhensf
var	sfg3eþ
sumt	fohen
fólk	nhen
hér	aa
á	aþ
landi	nheþ
einu	foheþ
sinni	nheþ
.	.

og	c
núna	aa
er	sfg3en
margt	lhensf
fólk	nhen
í	aþ
öðrum	fohfþ
löndum	nhfþ
,	,
sem	ct
er	sfg3en
svona	aa
fátækt	lhensf
.	.

-	-
af	aþ
hverju	fsheþ
?	?

-	-
þú	fp2en
skalt	sfg2en
reyna	sng
að	cn
finna	sng
svar	nheo
við	aþ
því	fpheþ
,	,
þegar	c
þú	fp2en
ert	sfg2en
orðinn	sþgken
stærri	lkenvm
.	.

kannski	aa
er	sfg3en
það	fphen
að	aþ
einhverju	foheþ
leyti	nheþ
af	aþ
því	fpheþ
,	,
að	c
við	fp1fn
viljum	sfg1fn
eiga	sng
of	aa
marga	lkfosf
bíla	nkfo
og	c
margt	lheosf
annað	foheo
,	,
sem	ct
við	fp1fn
höfum	sfg1fn
vanið	ssg
okkur	fp1fo
á	ao
.	.

og	c
borðum	sfg1fn
meira	lheovm
en	c
við	fp1fn
þurfum	sfg1fn
eða	c
höfum	sfg1fn
gott	lheosf
af	aa
.	.

og	c
skemmum	sfg1fn
og	c
eyðileggjum	sfg1fn
ógrynni	nhfo
af	aþ
mat	nkeþ
og	c
öðru	foheþ
.	.

-	-
ekki	aa
við	fp1fn
.	.

ég	fp1en
er	sfg1en
ekki	aa
bara	aa
að	cn
tala	sng
um	ao
okkur	fp1fo
tvo	tfkfo
.	.

þegar	c
ég	fp1en
segi	sfg1en
«	«
við	fp1fn
»	»
,	,
meina	sfg1en
ég	fp1en
allt	foheo
ríka	lheovf
fólkið	nheog
á	aþ
jörðinni	nveþg
,	,
okkur	fp1fo
hér	aa
á	aþ
Íslandi	nheþ-s
og	c
aðra	fokfo
.	.

þegar	c
þeir	fpkfn
fóru	sfg3fþ
í	ao
andaglas	nheo
með	aþ
Iðunni	nveþ-s
og	c
Gíslínu	nveþ-s
eftir	ao
prófin	nhfog
í	ao
vor	nheo
.	.

það	fphen
voru	sfg3fþ
meiri	lhfnvm
ósköpin	nhfng
.	.

hún	fpven
hlær	sfg3en
og	c
segir	sfg3en
að	c
Palli	nken-s
og	c
Villi	nken-s
hafi	svg3fn
ábyggilega	aa
báðir	fokfn
verið	ssg
að	cn
gera	sng
at	nheo
í	aþ
þeim	fphfþ
.	.

Grímsi	nken-s
segir	sfg3en
að	c
það	fphen
sé	svg3en
ekki	aa
alltaf	aa
allt	fohen
sem	ct
sýnist	sfm3en
.	.

hann	fpken
segir	sfg3en
ekki	aa
frá	aþ
öllu	foheþ
sem	ct
hefur	sfg3en
gerst	ssm
þetta	faheo
sumar	nheo
.	.

það	fphen
er	sfg3en
ýmislegt	lhensf
sem	ct
ekki	aa
má	sfg3en
tala	sng
um	ao
.	.

hann	fpken
talar	sfg3en
heldur	aam
ekkert	fohen
um	ao
sínar	fevfo
eigin	lvfoof
tilraunir	nvfo
.	.

þær	fpvfn
eru	sfg3fn
hans	fpkee
einkamál	nhen
.	.

margur	lkensf
hefur	sfg3en
verið	ssg
hýddur	sþgken
fyrir	ao
minna	lheovm
.	.

hún	fpven
er	sfg3en
annars	aa
svolítið	aa
alvarleg	lvensf
finnst	sfm3en
honum	fpkeþ
.	.

brosir	sfg3en
varla	aa
.	.

hann	fpken
segir	sfg3en
henni	fpveþ
frá	aþ
síðasta	lkeþve
deginum	nkeþg
í	aþ
vinnunni	nveþg
hjá	aþ
Lofthamri	nkeþ-s
.	.

hvað	fshen
karlarnir	nkfng
urðu	sfg3fþ
snarbrjálaðir	lkfnsf
og	c
frá	aþ
strákunum	nkfþg
sem	ct
voru	sfg3fþ
reknir	sþgkfn
.	.

hann	fpken
trúir	sfg3en
henni	fpveþ
fyrir	aþ
því	faheþ
sem	ct
þeir	fpkfn
Palli	nken-s
gerðu	sfg3fþ
.	.

skellihlær	sfg3en
.	.

hún	fpven
varð	sfg3eþ
alvarleg	lvensf
og	c
spurði	sfg3eþ
hvað	fsheo
þeir	fpkfn
hefðu	svg3fþ
gert	ssg
ef	c
einhver	foken
hefði	svg3eþ
meitt	ssg
sig	fpkeo
.	.

hvort	c
þeir	fpkfn
hefðu	svg3fþ
sagt	ssg
frá	aþ
öllu	foheþ
?	?

við	aþ
því	fpheþ
var	sfg3eþ
auðvitað	aa
ekkert	fohen
svar	nhen
.	.

Grímsi	nken-s
hafði	sfg3eþ
ekki	aa
spurt	ssg
hana	fpveo
um	ao
nafn	nheo
,	,
þegar	c
hún	fpven
sagðist	sfm3eþ
vita	sng
hver	fsken
hann	fpken
var	sfg3eþ
.	.

einhvern	fokeo
veginn	nkeog
fannst	sfm3eþ
honum	fpkeþ
engu	foheþ
máli	nheþ
skipta	sng
hvað	fshen
hún	fpven
hét	sfg3eþ
þessi	faven
brúneyga	lvenvf
stelpa	nven
með	ao
ljósa	lheovf
hárið	nheog
.	.

hann	fpken
ætlaði	sfg3eþ
bara	aa
að	cn
fylgja	sng
henni	fpveþ
upp	aa
á	ao
Hringbraut	nveo-s
.	.

fara	sng
svo	aa
heim	aa
.	.

hver	fsken
spyr	sfg3en
um	ao
Odd	nkeo-s
?	?

þau	fphfn
spurðu	sfg3fþ
aftur	aa
,	,
og	c
enn	aa
og	c
aftur	aa
.	.

er	sfg3en
andi	nken
í	aþ
glasinu	nheþg
?	?

Gíslína	nven-s
útbjó	sfg3eþ
spjaldið	nheog
þar	aa
sem	c
komið	sþghen
var	sfg3eþ
fyrir	aa
vatnsglasi	nheþ
á	aþ
hvolfi	nheþ
.	.

allt	fohen
varð	sfg3eþ
að	cn
vera	sng
eftir	aþ
kúnstarinnar	nveeg
reglum	nvfþ
.	.

hringir	nkfn
dregnir	sþgkfn
á	ao
spjaldið	nheog
eftir	aþ
glasbarminum	nkeþg
.	.

allt	fohen
stafrófið	nheng
skrifað	sþghen
í	ao
hringina	nkfog
og	c
tölustafir	nkfn
að	aa
auki	aa
.	.

nöfn	nhfn
þeirra	fahfe
sem	ct
leituðu	sfg3fþ
þekkingar	nvee
,	,
Gíslína	nven-s
,	,
Iðunn	nven-s
,	,
Páll	nken-s
og	c
Grímur	nken-s
voru	sfg3fþ
líka	aa
skráð	sþghfn
í	ao
sérstaka	lkfosf
hringi	nkfo
.	.

til	ae
hliðar	nvee
voru	sfg3fþ
fullyrðingar	nvfn
:	:

veit	sfg1en
ekki	aa
.	.

kannski	aa
.	.

má	sfg1en
ekki	aa
segja	sng
.	.

vil	sfg1en
ekki	aa
segja	sng
.	.

auk	ae
þess	fphee
já	au
og	c
nei	au
,	,
og	c
tákn	nhfn
stjarnanna	nvfeg
Mars	nkee-s
og	c
Venusar	nvee-s
fyrir	ao
karlkyn	nheo
og	c
kvenkyn	nheo
.	.

er	sfg3en
andi	nken
í	aþ
glasinu	nheþg
?	?

strákunum	nkfþg
fannst	sfm3eþ
þetta	fahen
orðið	sþghen
nokkuð	fohen
þreytandi	lhenof
.	.

þeir	fpkfn
áttu	sfg3fþ
erfitt	lheosf
með	ao
að	cn
vera	sng
alvarlegir	lkfnsf
.	.

höfðu	sfg3fþ
samt	aa
sjálfir	fbkfn
óskað	ssg
eftir	aþ
aðstoð	nveþ
stelpnanna	nvfeg
við	ao
þessa	faveo
vísindalegu	lveovf
tilraun	nveo
.	.

Gíslína	nven-s
stjórnaði	sfg3eþ
serímoníunum	nvfþg
.	.

hún	fpven
var	sfg3eþ
sérfræðingurinn	nkeng
.	.

hafði	sfg3eþ
oft	aa
áður	aa
prófað	ssg
.	.

sagði	sfg3eþ
að	c
það	fphen
væru	svg3fþ
ekki	aa
endilega	aa
andar	nkfn
framliðinna	lkfesf
sem	ct
gæfu	svg3fþ
sig	fpkfo
fram	aa
.	.

það	fphen
væri	svg3eþ
líka	aa
hægt	lhensf
að	cn
komast	snm
í	ao
samband	nheo
við	ao
sofandi	lheoof
fólk	nheo
.	.

jafnvel	aa
glaðvakandi	lheoof
fólk	nheo
og	c
auðvitað	aa
sprelllifandi	lheoof
.	.

það	fphen
var	sfg3eþ
hægt	lhensf
að	cn
spyrja	sng
ýmissa	fovfe
spurninga	nvfe
.	.

sumt	foheo
mátti	sfg3eþ
ekki	aa
spyrja	sng
um	ao
.	.

ekki	aa
alltaf	aa
hægt	lhensf
að	cn
fá	sng
svör	nhfo
við	aþ
öllu	foheþ
.	.

hvers	fshee
höfðu	sfg3fþ
Gíslína	nven-s
og	c
vinkonur	nvfn
hennar	fpvee
orðið	ssg
vísari	lvfnvm
?	?

strákarnir	nkfng
vildu	sfg3fþ
fá	sng
að	cn
vita	sng
það	fpheo
áður	aa
en	c
tilraunin	nveng
hófst	sfm3eþ
.	.

það	fphen
var	sfg3eþ
ekkert	fohen
sérstakt	lhensf
,	,
sagði	sfg3eþ
Gíslína	nven-s
,	,
þó	aa
hafði	sfg3eþ
eitt	fohen
og	c
annað	fohen
ræst	ssm
.	.

til	ae
dæmis	nhee
í	aþ
sambandi	nheþ
við	ao
ástamálin	nhfog
.	.

sumt	fohen
var	sfg3eþ
óskaplegt	lhensf
rugl	nhen
,	,
annað	fohen
ekki	aa
.	.

hún	fpven
vildi	sfg3eþ
samt	aa
ekki	aa
upplýsa	sng
nánar	aam
hvaða	fshfn
kærustupör	nhfn
höfðu	sfg3fþ
orðið	ssg
til	aa
eftir	aþ
staðfestingu	nveþ
andaheimsins	nkeeg
á	aþ
heppilegum	lkfþsf
valkostum	nkfþ
.	.

þau	fphfn
sátu	sfg3fþ
í	aa
kring	aa
um	ao
lítið	lheosf
borð	nheo
í	aþ
risherberginu	nheþg
á	aþ
Bergsgötu	nveþ-s
.	.

studdu	sfg3fþ
vísifingri	nkeþ
og	c
löngutöng	nveþ
bleyttum	lhfþsf
í	aþ
munnvatni	nheþ
á	ao
glasbotninn	nkeog
.	.

reyndu	sfg3fþ
öll	fohfn
að	cn
vera	sng
grafalvarleg	lhfnsf
meðan	c
Gíslína	nven-s
tónaði	sfg3eþ
spurningu	nveo
kvöldsins	nheeg
:	:

er	sfg3en
andi	nken
í	aþ
glasinu	nheþg
?	?

strákunum	nkfþg
fannst	sfm3eþ
asnalegt	lhensf
að	cn
þurfa	sng
að	cn
fara	sng
með	ao
Faðirvorið	nheogs
á	aa
undan	aa
,	,
blása	sng
í	ao
kross	nkeo
inn	aa
í	ao
glasið	nheog
og	c
halda	sng
því	fpheþ
á	aþ
hvolfi	nheþ
í	aþ
lófanum	nkeþg
meðan	c
það	fphen
var	sfg3eþ
rétt	sþghen
næsta	lkeþve
manni	nkeþ
.	.

þetta	fahen
varð	sfg3eþ
víst	aa
að	cn
vera	sng
eftir	aþ
kúnstarinnar	nveeg
reglum	nvfþ
.	.

annars	aa
gat	sfg3eþ
allt	fohen
misheppnast	ssm
.	.

svo	aa
sagði	sfg3eþ
Gíslína	nven-s
.	.

loks	aa
þokaðist	sfm3eþ
glasið	nheng
af	aþ
stað	nkeþ
með	aþ
smárykkjum	nkfþ
.	.
átta	tfkfn
fingur	nkfn
fylgdu	sfg3fþ
eftir	aa
,	,
hægum	lvfþsf
og	c
skrykkjóttum	lvfþsf
hreyfingum	nvfþ
.	.

glasið	nheng
stöðvaðist	sfm3eþ
á	aþ
jáinu	nheþg
.	.

-	-
æ	au
,	,
ég	fp1en
vona	sfg1en
bara	aa
að	c
þau	fphfn
fari	svg3fn
ekki	aa
að	cn
koma	sng
með	ao
gjafir	nvfo
,	,
leið	sfg3eþ
upp	aa
úr	aþ
henni	fpveþ
,	,
þessi	fahfn
brúðkaupsafmæli	nhfn
eru	sfg3fn
ekkert	fohen
svo	aa
merkileg	lhfnsf
,	,
mér	fp1eþ
hefur	sfg3en
aldrei	aa
